underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2017-08-21,VIX,2017-09-06,50.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1994,0.0500,13.2000,13.2000,0,0.0000,1994,0.0500,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-06,50.000,P,0.0000,0.0000,0.0000,0.0000,0,96,36.0000,100,36.7000,13.2000,13.2000,96,36.0000,100,36.8000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-13,10.000,C,0.0000,0.0000,0.0000,0.0000,0,97,3.6000,100,4.3000,13.2000,13.2000,97,3.5000,100,4.3000,13.1900,13.1900,0.0000,26,
^VIX,2017-08-21,VIX,2017-09-13,10.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1857,0.0500,13.2000,13.2000,0,0.0000,1700,0.0500,13.1900,13.1900,0.0000,142,
^VIX,2017-08-21,VIX,2017-09-13,10.500,C,0.0000,0.0000,0.0000,0.0000,0,100,3.1000,97,3.9000,13.2000,13.2000,100,3.1000,96,3.8000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-13,10.500,P,0.0500,0.0500,0.0500,0.0500,7,0,0.0000,2403,0.1000,13.2000,13.2000,0,0.0000,2254,0.1000,13.1900,13.1900,0.0500,111,
^VIX,2017-08-21,VIX,2017-09-13,11.000,C,0.0000,0.0000,0.0000,0.0000,0,100,2.7000,96,3.4000,13.2000,13.2000,100,2.7000,96,3.4000,13.1900,13.1900,0.0000,32,
^VIX,2017-08-21,VIX,2017-09-13,11.000,P,0.0000,0.0000,0.0000,0.0000,0,3351,0.0500,1871,0.1500,13.2000,13.2000,583,0.1000,3211,0.2000,13.1900,13.1900,0.0000,588,
^VIX,2017-08-21,VIX,2017-09-13,11.500,C,0.0000,0.0000,0.0000,0.0000,0,99,2.3500,100,2.9500,13.2000,13.2000,99,2.3500,100,2.9000,13.1900,13.1900,0.0000,13,
^VIX,2017-08-21,VIX,2017-09-13,11.500,P,0.0000,0.0000,0.0000,0.0000,0,3356,0.1500,3107,0.3000,13.2000,13.2000,960,0.2000,2667,0.3000,13.1900,13.1900,0.0000,413,
^VIX,2017-08-21,VIX,2017-09-13,12.000,C,0.0000,0.0000,0.0000,0.0000,0,95,2.0500,100,2.5500,13.2000,13.2000,95,2.0500,100,2.5500,13.1900,13.1900,0.0000,92,
^VIX,2017-08-21,VIX,2017-09-13,12.000,P,0.3500,0.3500,0.3500,0.3500,20,3057,0.3000,2440,0.4500,13.2000,13.2000,2341,0.3000,1063,0.4500,13.1900,13.1900,0.3500,777,
^VIX,2017-08-21,VIX,2017-09-13,12.500,C,2.2000,2.2000,1.8500,1.8500,31,2205,1.8500,1887,2.2500,13.2000,13.2000,2306,1.8000,958,2.2000,13.1900,13.1900,2.1887,98,
^VIX,2017-08-21,VIX,2017-09-13,12.500,P,0.6500,0.6500,0.6500,0.6500,10,2673,0.5000,1228,0.6500,13.2000,13.2000,2713,0.5000,25,0.6500,13.1900,13.1900,0.6500,13009,
^VIX,2017-08-21,VIX,2017-09-13,13.000,C,2.2000,2.5000,1.9500,1.9500,6,1825,1.6500,2858,2.0000,13.2000,13.2000,3,1.7000,1383,1.9500,13.1900,13.1900,2.2667,220,
^VIX,2017-08-21,VIX,2017-09-13,13.000,P,0.8300,0.8300,0.8300,0.8300,1,2098,0.7500,2670,0.9500,13.2000,13.2000,2264,0.7500,1182,0.9500,13.1900,13.1900,0.8300,183,
^VIX,2017-08-21,VIX,2017-09-13,13.500,C,2.2500,2.2500,1.8000,1.8000,6,2042,1.4500,385,1.7500,13.2000,13.2000,2801,1.4000,1827,1.7500,13.1900,13.1900,1.8750,21,
^VIX,2017-08-21,VIX,2017-09-13,13.500,P,1.1000,1.2000,1.0500,1.0500,68,309,1.0500,2698,1.2500,13.2000,13.2000,1698,1.0500,781,1.2500,13.1900,13.1900,1.0853,90,
^VIX,2017-08-21,VIX,2017-09-13,14.000,C,2.0500,2.0500,1.6700,1.7500,5,1768,1.3000,2515,1.6000,13.2000,13.2000,1,1.3000,1119,1.5500,13.1900,13.1900,1.7940,162,
^VIX,2017-08-21,VIX,2017-09-13,14.000,P,1.4000,1.4000,1.3500,1.3500,6,2643,1.3000,1878,1.5500,13.2000,13.2000,385,1.3500,360,1.5500,13.1900,13.1900,1.3583,2026,
^VIX,2017-08-21,VIX,2017-09-13,14.500,C,1.8500,1.8500,1.3500,1.3500,16,360,1.1500,1313,1.3500,13.2000,13.2000,2548,1.1000,1413,1.3500,13.1900,13.1900,1.5113,67,
^VIX,2017-08-21,VIX,2017-09-13,14.500,P,0.0000,0.0000,0.0000,0.0000,0,2088,1.6500,1663,1.9000,13.2000,13.2000,2102,1.7000,1189,1.9500,13.1900,13.1900,0.0000,14,
^VIX,2017-08-21,VIX,2017-09-13,15.000,C,1.5500,1.6500,1.2500,1.2500,17,2360,1.0000,529,1.2000,13.2000,13.2000,300,1.0000,400,1.2000,13.1900,13.1900,1.5282,334,
^VIX,2017-08-21,VIX,2017-09-13,15.000,P,0.0000,0.0000,0.0000,0.0000,0,311,2.0000,445,2.2500,13.2000,13.2000,324,2.0500,586,2.3000,13.1900,13.1900,0.0000,44,
^VIX,2017-08-21,VIX,2017-09-13,16.000,C,1.3500,1.3500,1.0000,1.0000,18,10,0.8500,862,1.0000,13.2000,13.2000,10,0.9500,706,1.0000,13.1900,13.1900,1.1361,149,
