Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT 17J1350,-1,,,,161.9,,C,95.498,0.094,O,160.95,,0,0.104,,299,-0.003,,171020,,171011,31.534,0.052,-54.858,15:30:00,,22.535,,1,0.428,1350,1.65,161.36,Oct 1350 Calls,,,160
RUT 17K1350,-1,,,,,,C,92.791,0.115,O,-1,,0,0.106,,25,,,171117,,171011,125.181,0.052,-26.053,15:30:00,,66.195,,1,0.248,1350,,163.84,Nov 1350 Calls,,,
RUT 17L1350,-1,,,,167.7,0.22,C,90.281,0.127,O,166.6,,0,0.11,,1322,-0.002,0.21,171215,,171011,212.526,0.052,-21.411,15:30:00,,109.696,0.2,1,0.213,1350,7.3,166.87,Dec 1350 Calls,,,165.5
RUT 18A1350,-1,,,,172.2,0.203,C,87.488,0.133,O,171.05,,0,0.115,,33,-0.001,0.195,180119,,171011,314.022,0.052,-19.739,15:30:00,,162.861,0.188,1,0.197,1350,11.75,171.26,Jan18 1350 Calls,,,169.9
RUT 18C1350,-1,,,,180.8,0.195,C,83.676,0.132,O,179.65,,0,0.124,,18,0,0.19,180316,,171011,461.259,0.052,-18.737,15:30:00,,242.969,0.185,1,0.19,1350,20.35,179.65,Mar18 1350 Calls,,,178.5
RUT 17V1350,-1,,,,,,P,-1.161,0.04,O,-1,,0,0.013,,3739,,,171020,,171011,-0.439,0.052,-11.187,15:30:00,,7.246,,0,0.317,1350,,0.3,Oct 1350 Puts,,,
RUT 17W1350,2.53,-0.19,2.53,2.53,2.55,0.225,P,-5.26,0.101,O,2.41,2.53,0,0.023,2.72,2451,-0.008,0.222,171117,,171011,-8.27,0.052,-14.936,15:30:00,,51.837,0.219,0,0.222,1350,2.41,2.43,Nov 1350 Puts,,1,2.25
RUT 17X1350,-1,,,,5.7,0.206,P,-8.851,0.124,O,5.45,,0,0.031,,2987,-0.009,0.204,171215,,171011,-24.677,0.052,-15.401,15:30:00,,102.421,0.201,0,0.204,1350,5.45,5.5,Dec 1350 Puts,,,5.2
RUT 18M1350,-1,,,,10.4,0.199,P,-12.348,0.133,O,10.05,,0,0.04,,30,0.02,0.196,180119,,171011,-53.506,0.052,-15.204,15:30:00,,161.382,0.194,0,0.195,1350,10.05,9.85,Jan18 1350 Puts,,,9.7
RUT 18O1350,-1,,,,19.5,0.2,P,-17.063,0.131,O,19.05,,0,0.055,,690,0.013,0.198,180316,,171011,-117.4,0.052,-14.899,15:30:00,,249.953,0.196,0,0.197,1350,19.05,18.8,Mar18 1350 Puts,,,18.6
RUT 17J1360,-1,,,,152,,C,95.234,0.103,O,151.1,,0,0.098,,531,-0.002,,171020,,171011,31.682,0.052,-54.64,15:30:00,,23.591,,1,0.406,1360,1.8,151.39,Oct 1360 Calls,,,150.2
RUT 17K1360,-1,,,,155.2,,C,92.135,0.128,O,154.1,,0,0.1,,31,0,,171117,,171011,125.166,0.052,-26.744,15:30:00,,70.727,,1,0.239,1360,4.8,154.13,Nov 1360 Calls,,,153
RUT 17L1360,-1,,,,158.5,0.216,C,89.363,0.139,O,157.3,,0,0.104,,244,-0.001,0.206,171215,,171011,211.746,0.052,-22.428,15:30:00,,117.124,0.196,1,0.207,1360,8,157.44,Dec 1360 Calls,,,156.1
RUT 18A1360,-1,,,,163.3,0.2,C,86.422,0.144,O,161.95,,0,0.109,,19,-0.001,0.192,180119,,171011,312.136,0.052,-20.373,15:30:00,,172.306,0.184,1,0.193,1360,12.65,162.12,Jan18 1360 Calls,,,160.6
RUT 18C1360,-1,,,,172.2,0.192,C,82.494,0.14,O,171,,0,0.119,,18,0,0.187,180316,,171011,457.378,0.052,-19.147,15:30:00,,254.08,0.183,0.999,0.187,1360,21.7,170.99,Mar18 1360 Calls,,,169.8
RUT 17V1360,-1,,,,0.45,0.315,P,-1.299,0.047,O,0.35,,0,0.013,,3878,0.061,0.304,171020,,171011,-0.491,0.052,-12.409,15:30:00,,7.991,0.291,0,0.302,1360,0.35,0.33,Oct 1360 Puts,,,0.25
RUT 17W1360,-1,,,,2.9,0.219,P,-5.893,0.114,O,2.7,,0,0.023,,1886,0.007,0.216,171117,,171011,-9.262,0.052,-16.067,15:30:00,,56.689,0.212,0,0.215,1360,2.7,2.68,Nov 1360 Puts,,,2.5
RUT 17X1360,-1,,,,,,P,-9.777,0.136,O,-1,,0,0.031,,466,,,171215,,171011,-27.251,0.052,-16.255,15:30:00,,110.206,,0,0.199,1360,,6.04,Dec 1360 Puts,,,
RUT 18M1360,11.23,0,11.23,11.23,11.3,0.195,P,-13.436,0.143,O,10.96,11.23,0,0.04,11.23,25,0.024,0.193,180119,,171011,-58.215,0.052,-15.845,15:30:00,,171.077,0.191,0,0.191,1360,10.96,10.7,Jan18 1360 Puts,,1,10.6
RUT 18O1360,-1,,,,20.9,0.197,P,-18.227,0.139,O,20.45,,0,0.055,,202,0.017,0.195,180316,,171011,-125.424,0.052,-15.311,15:30:00,,260.57,0.193,0.001,0.194,1360,20.45,20.1,Mar18 1360 Puts,,,20
RUT 17J1370,-1,,,,141.5,,C,94.929,0.115,O,140.5,,0,0.091,,247,-0.007,,171020,,171011,31.814,0.052,-54.49,15:30:00,,24.788,,1,0.384,1370,1.2,141.42,Oct 1370 Calls,,,139.5
RUT 17K1370,-1,,,,145.5,,C,91.388,0.142,O,144.4,,0,0.094,,436,0,,171117,,171011,125.007,0.052,-27.476,15:30:00,,75.721,,1,0.23,1370,5.1,144.44,Nov 1370 Calls,,,143.3
RUT 17L1370,-1,,,,148.4,0.204,C,88.337,0.153,O,147.5,,0,0.098,,21,-0.004,0.197,171215,,171011,210.665,0.052,-22.389,15:30:00,,125.078,0.19,1,0.202,1370,8.2,148.07,Dec 1370 Calls,,,146.6
RUT 18A1370,-1,,,,,,C,85.253,0.155,O,-1,,0,0.104,,62,,,180119,,171011,309.806,0.052,-21.095,15:30:00,,182.181,,1,0.189,1370,,153.06,Jan18 1370 Calls,,,
RUT 18C1370,-1,,,,,,C,81.23,0.148,O,-1,,0,0.114,,111,,,180316,,171011,452.924,0.052,-19.544,15:30:00,,265.374,,0.998,0.184,1370,,162.44,Mar18 1370 Calls,,,
RUT 17V1370,0.3,-0.07,0.36,0.28,0.5,0.301,P,-1.467,0.055,O,0.32,0.3,0,0.012,0.37,2440,-0.111,0.282,171020,,171011,-0.554,0.052,-11.382,15:30:00,,8.874,,0,0.286,1370,0.32,0.36,Oct 1370 Puts,,12,0.15
RUT 17W1370,-1,,,,3.2,0.211,P,-6.627,0.129,O,2.98,,0,0.022,,5584,0.003,0.208,171117,,171011,-10.411,0.052,-16.895,15:30:00,,62.108,0.204,0,0.208,1370,2.98,2.97,Nov 1370 Puts,,,2.75
RUT 17X1370,-1,,,,6.9,0.196,P,-10.822,0.151,O,6.7,,0,0.031,,353,0.008,0.195,171215,,171011,-30.159,0.052,-17.147,15:30:00,,118.614,0.193,0,0.194,1370,6.7,6.65,Dec 1370 Puts,,,6.5
RUT 18M1370,-1,,,,,,P,-14.635,0.155,O,-1,,0,0.04,,84,,,180119,,171011,-63.411,0.052,-16.147,15:30:00,,181.265,,0,0.188,1370,,11.65,Jan18 1370 Puts,,,
RUT 18O1370,-1,,,,22.3,0.194,P,-19.475,0.147,O,21.85,,0,0.056,,230,0.015,0.192,180316,,171011,-134.036,0.052,-15.581,15:30:00,,271.393,0.19,0.002,0.191,1370,21.85,21.52,Mar18 1370 Puts,,,21.4
RUT 17J1380,-1,,,,,,C,94.575,0.128,O,-1,,0,0.085,,741,,,171020,,171011,31.928,0.052,-54.418,15:30:00,,26.154,,1,0.362,1380,,131.46,Oct 1380 Calls,,,
RUT 17K1380,-1,,,,135.5,,C,90.532,0.158,O,134.35,,0,0.088,,111,-0.003,,171117,,171011,124.677,0.052,-28.248,15:30:00,,81.229,,1,0.222,1380,5.05,134.8,Nov 1380 Calls,,,133.2
RUT 17L1380,-1,,,,139.5,0.202,C,87.189,0.168,O,138.55,,0,0.093,,702,-0.002,0.195,171215,,171011,209.244,0.052,-23.768,15:30:00,,133.571,0.187,1,0.196,1380,9.25,138.78,Dec 1380 Calls,,,137.6
RUT 18A1380,-1,,,,145.3,0.191,C,83.973,0.168,O,144.15,,0,0.099,,29,0,0.184,180119,,171011,306.99,0.052,-21.635,15:30:00,,192.463,0.179,1,0.184,1380,14.85,144.1,Jan18 1380 Calls,,,143
RUT 18C1380,-1,,,,155.3,0.186,C,79.875,0.157,O,153.9,,0,0.11,,364,-0.001,0.181,180316,,171011,447.838,0.052,-19.862,15:30:00,,276.826,0.176,0.996,0.182,1380,24.6,154,Mar18 1380 Calls,,,152.5
RUT 17V1380,-1,,,,0.5,0.281,P,-1.673,0.065,O,0.38,,0,0.012,,3476,-0.026,0.27,171020,,171011,-0.631,0.052,-13.073,15:30:00,,9.933,0.255,0,0.271,1380,0.38,0.39,Oct 1380 Puts,,,0.25
RUT 17W1380,3.5,-0.45,3.53,3.3,3.5,0.203,P,-7.482,0.146,O,3.31,3.5,0,0.022,3.95,2101,0,0.201,171117,,171011,-11.749,0.052,-17.918,15:30:00,,68.16,0.198,0,0.201,1380,3.31,3.31,Nov 1380 Puts,,7,3.1
RUT 17X1380,-1,,,,7.7,0.192,P,-12.005,0.166,O,7.45,,0,0.031,,468,0.012,0.19,171215,,171011,-33.452,0.052,-17.97,15:30:00,,127.679,0.188,0,0.189,1380,7.45,7.36,Dec 1380 Puts,,,7.2
RUT 18M1380,-1,,,,,,P,-15.956,0.168,O,-1,,0,0.04,,57,,,180119,,171011,-69.137,0.052,-16.716,15:30:00,,191.91,,0,0.184,1380,,12.71,Jan18 1380 Puts,,,
RUT 18O1380,-1,,,,23.8,0.19,P,-20.812,0.155,O,23.4,,0,0.056,,121,0.014,0.189,180316,,171011,-143.266,0.052,-15.907,15:30:00,,282.361,0.188,0.004,0.188,1380,23.4,23.07,Mar18 1380 Puts,,,23
RUT 17J1390,-1,,,,121.7,,C,94.159,0.144,O,120.7,,0,0.078,,1313,-0.007,,171020,,171011,32.018,0.052,-54.438,15:30:00,,27.727,,1,0.341,1390,1.4,121.51,Oct 1390 Calls,,,119.7
