date,underlying,root_symbol,exchange,futures_symbol,futures_expiration_date,futures_close,options_expiration_date,strike,type,style,bid,ask,settlement,volume,open_interest
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1670,P,E,0,0.05,0.05,0,16
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1675,C,E,0,0,825.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1675,P,E,0,0.05,0.05,0,67
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1680,C,E,0,0,820.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1680,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1690,C,E,0,0,811,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1690,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1700,C,E,0,0,801,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1700,P,E,0,0.05,0.05,0,10
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1710,C,E,0,0,791,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1710,P,E,0,0.05,0.05,0,1020
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1720,C,E,0,0,781,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1720,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1725,C,E,0,0,776,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1725,P,E,0,0.05,0.05,0,8
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1730,C,E,0,0,771,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1730,P,E,0,0.05,0.05,0,214
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1740,C,E,0,0,761,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1740,P,E,0,0.05,0.05,0,1200
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1750,C,E,0,0,751,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1750,P,E,0,0.05,0.05,0,253
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1760,C,E,0,0,741,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1760,P,E,0,0.05,0.05,0,300
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1770,C,E,0,0,731,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1770,P,E,0,0.05,0.05,0,436
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1775,C,E,0,0,726,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1775,P,E,0,0.05,0.05,0,111
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1780,C,E,0,0,721,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1780,P,E,0,0.05,0.05,0,27
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1790,C,E,0,0,711,0,0
