Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RURIJ,-1,,,,131.5,,C,79.163,0.15,O,130.25,,0,0.315,,10,0.005,,090918,,090126,146.152,0.367,-11.937,15:30:00,,103.73,,0.807,0.531,350,23,129.6,Sep 350 Calls,,,129
RURNJ,1.8,-1.19,2.28,1.79,1.9,0.665,P,-5.217,0.135,O,1.82,2.23,0,0.058,2.99,8141,-0.016,0.658,090220,,090126,-1.756,0.367,-16.387,15:30:00,,12.765,0.653,0.003,0.661,350,1.82,1.85,Feb 350 Puts,,178,1.75
RUROJ,7.1,-2.97,9,6.95,7.1,0.647,P,-11.472,0.174,O,6.96,9,0,0.099,10.07,2212,0.001,0.643,090320,,090126,-8.59,0.367,-20.395,15:30:00,,33.67,0.638,0.029,0.642,350,6.96,6.95,Mar 350 Puts,,54,6.8
RURPJ,13.12,-0.78,13.13,13.12,11.2,0.611,P,-14.489,0.175,O,11.1,13.13,0,0.125,13.9,111,0,0.609,090417,,090126,-17.07,0.367,-18.341,15:30:00,,48.84,0.603,0.064,0.609,350,11.1,11.1,Apr 350 Puts,,3,10.8
RURRJ,26.5,,,,19.9,0.577,P,-18.374,0.163,O,19.93,,0,0.172,,2298,0.022,0.577,090619,,090126,-40.486,0.367,-15.194,15:30:00,,75.667,0.569,0.13,0.572,350,19.93,19.51,Jun 350 Puts,,,19.3
RURUJ,36,,,,29.7,0.545,P,-21.01,0.148,O,29.38,,0,0.223,,1089,0.012,0.542,090918,,090126,-79.513,0.367,-11.938,15:30:00,,104.234,0.533,0.193,0.539,350,29.38,29.04,Sep 350 Puts,,,28.4
RURBL,104.8,,,,100.6,,C,93.015,0.172,O,99.56,,0,0.214,,71,0.004,,090220,,090126,22.282,0.367,-20.665,15:30:00,,16.035,,0.993,0.653,360,2.31,99.12,Feb 360 Calls,,,98
RURCL,103.83,,,,105,,C,86.19,0.198,O,104.23,,0,0.236,,50,-0.002,,090320,,090126,41.839,0.367,-23.153,15:30:00,,38.311,,0.954,0.64,360,6.98,104.49,Mar 360 Calls,,,103.5
RURDL,-1,,,,109.5,,C,83.043,0.192,O,108.2,,0,0.253,,,-0.005,,090417,,090126,59.685,0.367,-20.559,15:30:00,,54.158,,0.912,0.613,360,10.95,108.7,Apr 360 Calls,,,106.9
RURFL,104.4,,,,116.9,,C,79.358,0.174,O,115.02,,0,0.281,,94,-0.012,,090619,,090126,95.897,0.367,-16.399,15:30:00,,81.208,,0.842,0.577,360,17.77,116.43,Jun 360 Calls,,,114.2
RURIL,74.2,,,,124.1,,C,77.352,0.159,O,120.58,,0,0.303,,15,-0.015,,090918,,090126,145.525,0.367,-12.342,15:30:00,,108.837,,0.78,0.523,360,23.33,122.43,Sep 360 Calls,,,121.7
RURNL,2.2,-1.88,3,2.2,2.4,0.641,P,-6.63,0.169,O,2.3,3,0,0.058,4.08,6251,-0.03,0.635,090220,,090126,-2.233,0.367,-19.043,15:30:00,,15.402,0.628,0.007,0.639,360,2.3,2.37,Feb 360 Puts,,133,2.2
RUROL,8.67,-3.56,9,8.67,8.4,0.632,P,-13.402,0.199,O,8.27,9,0,0.1,12.23,931,0.009,0.629,090320,,090126,-10.048,0.367,-22.311,15:30:00,,37.535,0.624,0.046,0.627,360,8.27,8.2,Mar 360 Puts,,83,8.1
RURPL,16.85,,,,12.9,0.598,P,-16.458,0.194,O,12.9,,0,0.126,,72,0.013,0.598,090417,,090126,-19.416,0.367,-19.682,15:30:00,,53.128,0.591,0.088,0.595,360,12.9,12.73,Apr 360 Puts,,,12.5
RURRL,27.9,,,,22.3,0.569,P,-20.29,0.177,O,22.19,,0,0.174,,156,0.02,0.567,090619,,090126,-44.792,0.367,-15.842,15:30:00,,80.385,0.559,0.158,0.562,360,22.19,21.75,Jun 360 Puts,,,21.5
RURUL,29,,,,32.5,0.537,P,-22.783,0.158,O,31.67,,0,0.225,,154,-0.003,0.53,090918,,090126,-86.392,0.367,-12.183,15:30:00,,109.201,0.524,0.22,0.53,360,31.67,31.75,Sep 360 Puts,,,31.1
RURBN,73.61,,,,90.2,,C,91.204,0.211,O,89.17,,0,0.195,,48,-0.007,,090220,,090126,22.352,0.367,-23.927,15:30:00,,19.093,,0.986,0.632,370,1.92,89.82,Feb 370 Calls,,,89.7
RURCN,123.25,,,,96.4,,C,84.066,0.224,O,97.01,,0,0.22,,1599,0.012,,090320,,090126,41.682,0.367,-24.802,15:30:00,,42.153,,0.932,0.623,370,9.76,95.9,Mar 370 Calls,,,95
RURDN,-1,,,,101.4,,C,80.953,0.212,O,100.1,,0,0.238,,20,-0.004,,090417,,090126,59.404,0.367,-21.554,15:30:00,,58.256,,0.884,0.597,370,12.85,100.46,Apr 370 Calls,,,98.8
RURFN,152.95,,,,109.4,,C,77.384,0.187,O,110.19,,0,0.268,,142,0.013,,090619,,090126,95.392,0.367,-16.922,15:30:00,,85.615,,0.812,0.564,370,22.94,108.77,Jun 370 Calls,,,106.7
RURIN,-1,,,,117,0.529,C,75.458,0.169,O,115.85,,0,0.291,,,0.004,0.519,090918,,090126,144.53,0.367,-12.814,15:30:00,,113.758,0.509,0.751,0.516,370,28.6,115.44,Sep 370 Calls,,,114.7
RURNN,3,-1.8,4.29,2.85,3,0.617,P,-8.39,0.209,O,2.93,4.29,0,0.059,4.8,8650,-0.033,0.613,090220,,090126,-2.828,0.367,-22.072,15:30:00,,18.43,0.609,0.014,0.619,370,2.93,3.03,Feb 370 Puts,,55,2.85
RURON,10.6,-3.4,10.6,10.6,9.8,0.615,P,-15.589,0.225,O,9.74,10.6,0,0.101,14,4103,0.009,0.614,090320,,090126,-11.705,0.367,-24.116,15:30:00,,41.553,0.61,0.068,0.612,370,9.74,9.65,Mar 370 Puts,,96,9.6
